2
Dumping Log 2,    start pg 3,   end pg 57
id    longitude    latitude    altitude    pitch    roll    yaw
99    109.3742800    23.7233240    541.9700    5.08    -2.78    321.11
100    109.3740000    23.7237070    542.1100    6.35    5.08    321.32
101    109.3737200    23.7241130    540.9500    8.11    4.44    331.99
102    109.3747700    23.7247850    528.3700    6.42    7.97    178.24
103    109.3749200    23.7243480    528.9500    3.12    -6.65    166.72
104    109.3752300    23.7239700    528.1800    0.75    3.07    158.80
105    109.3754700    23.7235720    529.4300    1.07    -8.35    154.68
106    109.3757500    23.7231860    528.2800    2.76    3.60    156.01
107    109.3759800    23.7227750    531.3100    5.49    0.22    171.43
108    109.3762700    23.7223950    534.9800    3.52    7.24    163.55
109    109.3765100    23.7219920    537.4500    7.67    -1.79    183.13
110    109.3767800    23.7215940    539.0300    0.69    9.58    162.06
111    109.3770500    23.7212090    546.0200    3.11    -3.99    161.68
112    109.3772800    23.7208080    545.1800    1.85    -4.28    155.64
113    109.3775300    23.7204070    543.6400    -0.88    0.66    159.04
114    109.3777700    23.7200090    549.6300    -6.31    -2.71    162.93
115    109.3780200    23.7196140    543.7100    8.17    -0.22    165.07
116    109.3783200    23.7192230    542.1800    1.47    -5.24    158.58
117    109.3785900    23.7188430    545.6100    4.15    1.92    164.12
118    109.3788100    23.7184390    544.5400    5.86    -1.25    168.98
119    109.3790800    23.7180370    542.8800    6.70    5.93    176.74
120    109.3793300    23.7176360    543.2900    -0.41    -2.18    155.38
121    109.3795700    23.7172370    548.9100    -8.01    2.13    167.98
122    109.3798400    23.7168310    547.3000    7.30    -6.57    148.55
123    109.3801300    23.7164540    544.0200    7.80    2.27    167.92
124    109.3803600    23.7160550    543.6500    0.78    -3.76    153.98
125    109.3806500    23.7156770    546.2600    -0.71    3.09    166.20
126    109.3808900    23.7152630    549.3900    -4.94    -1.36    161.68
127    109.3811200    23.7148570    543.6800    12.96    4.17    179.86
128    109.3813800    23.7144430    540.9400    1.22    3.44    156.03
129    109.3816300    23.7140460    544.6900    1.30    -3.98    161.60
130    109.3819000    23.7136570    547.2500    -7.66    -4.16    154.92
131    109.3821900    23.7132910    547.8400    0.34    4.93    160.24
132    109.3824800    23.7129040    545.0100    9.13    4.60    177.65
133    109.3827100    23.7125050    540.3000    2.86    2.35    168.87
134    109.3829300    23.7120970    541.7200    -0.86    -9.21    151.84
135    109.3831800    23.7117160    546.2700    7.44    -10.93    166.71
136    109.3834600    23.7113340    539.9900    2.85    0.51    149.21
137    109.3837200    23.7109340    541.8900    2.99    -12.89    166.23
138    109.3839900    23.7105480    542.8100    2.88    1.53    158.90
139    109.3842500    23.7101540    543.5400    2.30    -0.09    164.90
140    109.3845200    23.7097840    543.0300    4.38    11.51    168.00
141    109.3847300    23.7093560    543.8600    2.54    -8.75    162.74
142    109.3850100    23.7089710    545.4900    4.83    9.05    162.36
143    109.3852400    23.7085610    545.9700    6.00    -3.95    169.82
144    109.3855000    23.7081530    544.9000    2.50    -3.61    147.43
145    109.3857700    23.7077750    542.9200    2.76    -0.35    155.22
146    109.3859500    23.7073480    548.3800    -6.47    -12.91    163.05
147    109.3862400    23.7069660    544.6300    10.19    7.98    156.77
148    109.3865400    23.7065870    539.4700    6.14    1.15    173.89
149    109.3867900    23.7061980    547.3900    0.70    -7.61    152.45
150    109.3870700    23.7058200    548.8600    -3.21    5.63    163.76
151    109.3872500    23.7053950    549.7900    2.14    -8.80    163.05
152    109.3875400    23.7050020    543.5700    5.00    12.03    162.07
153    109.3878000    23.7045750    540.2800    0.17    -4.28    154.75
154    109.3887700    23.7052210    541.5500    -3.08    -12.10    315.17
155    109.3885400    23.7056310    536.2900    0.61    -4.68    324.56
156    109.3882900    23.7060470    533.9300    5.96    0.82    332.65
157    109.3880100    23.7064550    534.3500    1.35    -0.94    324.82
158    109.3877300    23.7068630    534.7800    -1.60    -1.14    320.41
159    109.3874400    23.7072790    535.2900    -0.16    -3.67    312.80
160    109.3871800    23.7076870    537.4700    1.34    -3.02    307.70
161    109.3868900    23.7080940    539.5700    4.21    -0.41    318.53
162    109.3866300    23.7084980    540.2100    6.28    0.94    333.24
163    109.3863800    23.7089080    542.4600    5.93    -0.67    337.82
164    109.3861200    23.7093140    546.0400    -0.33    -5.31    320.09
165    109.3858600    23.7097190    546.8600    -11.08    -3.32    309.99
166    109.3856000    23.7101060    543.4000    2.94    -3.49    317.00
167    109.3853300    23.7105260    546.3900    10.84    5.64    339.93
168    109.3850900    23.7109390    544.5600    2.82    -2.59    326.34
169    109.3848000    23.7113460    545.6800    3.84    6.80    319.61
170    109.3845400    23.7117390    548.1900    -11.59    -0.59    308.70
171    109.3842300    23.7121470    542.7900    5.83    1.12    317.30
172    109.3839300    23.7125570    549.1500    1.13    -3.05    342.41
173    109.3836500    23.7129590    543.3700    2.05    13.09    337.25
174    109.3833800    23.7133520    547.5200    6.16    3.80    325.83
175    109.3831300    23.7137600    545.6300    -1.39    0.72    322.49
176    109.3828900    23.7141610    547.5200    0.70    -2.42    320.04
177    109.3826400    23.7145770    545.6200    -3.67    -8.90    320.09
178    109.3823900    23.7149640    545.4400    11.89    6.97    337.22
179    109.3821200    23.7153640    547.1200    -13.57    13.01    323.01
180    109.3818500    23.7157610    546.7500    9.17    0.15    337.62
181    109.3815900    23.7161710    547.1100    -13.84    5.17    321.66
182    109.3813100    23.7165740    546.7900    8.47    4.68    317.18
183    109.3810700    23.7169670    545.9800    -2.75    -5.31    318.88
184    109.3808400    23.7173770    545.7100    9.71    -3.64    329.49
185    109.3805700    23.7177960    544.8500    5.32    3.22    327.49
186    109.3803300    23.7182030    549.5100    0.29    -4.25    339.37
187    109.3800800    23.7185920    544.5500    0.50    3.72    317.79
188    109.3797900    23.7190000    547.9400    6.68    5.15    336.36
189    109.3795500    23.7193970    544.8500    0.99    0.94    329.16
190    109.3793200    23.7197930    543.1800    10.34    1.13    332.23
191    109.3790700    23.7201880    546.5500    1.39    5.19    310.38
192    109.3788500    23.7206080    545.8500    1.11    -2.51    299.33
193    109.3785700    23.7210250    544.2200    2.96    -5.10    294.32
194    109.3783200    23.7214370    545.5200    3.10    -11.74    307.00
195    109.3780500    23.7218280    544.4900    1.90    -4.71    289.99
196    109.3777400    23.7222120    544.1800    5.00    5.08    301.16
197    109.3774700    23.7226240    544.0700    1.38    -3.49    309.59
198    109.3771700    23.7230260    545.0700    -1.37    -5.06    304.69
199    109.3769000    23.7234000    543.5700    0.22    7.24    311.54
200    109.3766600    23.7238030    543.5500    4.28    -11.32    317.68
